articleId,articleTitle,courseId,stageId
gjfd55acy,"ディープインパクト産駒の特徴と狙い方【完全版】",blood_basics,1
z1udg_03jxi,"キタサンブラック産駒を馬券で狙うための5つの条件",blood_basics,2
7xc_a9_i8y2,"ロードカナロア産駒の距離適性を徹底分析",blood_basics,3
sy1u4c-e8h,"エピファネイア産駒が走る条件｜大物続出の血統力",blood_basics,4
xedf_j1m05x,"ドゥラメンテ産駒の買い時・消し時を見極める",blood_basics,5
blood-w5-01-9fbcd8ab,"キズナ産駒の特徴｜ディープ後継の実力",blood_basics,6
blood-w5-02-67e67cb4,"モーリス産駒の特徴｜非サンデー系の注目株",blood_basics,7
blood-w5-03-353de66a,"オルフェーヴル産駒の特徴と気性の扱い方",blood_basics,8
blood-w5-04-ad56b58e,"2歳新馬戦で血統が重要な理由と活用法",blood_basics,9
blood-w5-05-ab15b903,"血統予想は本当に当たるのか？データで検証",blood_sire,1
blood-w5-06-99575bca,"2025年版リーディングサイアーランキング解説",blood_sire,2
blood-w5-07-ff6d5a80,"血統と距離適性の関係を徹底解説",blood_sire,3
blood-w5-08-290e8ff0,"重馬場に強い血統まとめ｜雨の日に狙える種牡馬",blood_sire,4
blood-w6-01-188c0771,"スワーヴリチャード産駒の特徴｜次世代種牡馬の実力",blood_sire,5
blood-w6-02-eea98919,"インブリードとアウトブリードの違い｜奇跡と危険の配合論",blood_sire,6
blood-w6-03-112b6a3f,"競馬の三大始祖とは？すべてはこの3頭から始まった",blood_sire,7
blood-w6-04-f8eb346e,"ステイゴールド系の特徴｜根性の血を受け継ぐ馬たち",blood_sire,8
blood-w6-05-d6748e17,"ゴールドアリュール産駒の特徴｜ダート界の支配者",blood_sire,9
blood-w6-06-d97728c9,"牝系（ファミリーライン）の重要性",blood_broodmare,1
blood-w6-07-a4d9ed0d,"ルーラーシップ産駒の特徴と買い条件",blood_broodmare,2
blood-w6-08-139d81e4,"ダイワメジャー産駒の特徴｜マイル王の遺伝力",blood_broodmare,3
blood-w6-32-493da2d7,"ヘニーヒューズ産駒の特徴と地方競馬での活躍",blood_broodmare,4
blood-w6-33-bbb3459d,"血統を調べるおすすめアプリ・サイト5選",blood_broodmare,5
blood-w6-34-a95802f7,"サトノダイヤモンドの種牡馬成績と産駒傾向",blood_broodmare,6
blood-w6-35-6fd60b42,"ロベルト系の特徴｜日本で独自進化した血統",blood_broodmare,7
blood-w6-36-6ff1abaf,"2歳リーディングサイアーから読む種牡馬トレンド",blood_broodmare,8
blood-w6-37-f7a9b0fc,"海外種牡馬の日本での活躍｜ハービンジャーからフランケルまで",blood_broodmare,9
blood-w6-38-167c0e33,"競馬の血統を学ぶおすすめ本7選",blood_advanced,1
blood-w6-39-999683a8,"ドウデュース種牡馬入り｜ハーツクライ系の新星",blood_advanced,2
blood-w6-40-948df90f,"2025年新種牡馬の注目ポイント",blood_advanced,3
blood-w6-41-1c2a6423,"クロス（近親交配）の効果と影響を解説",blood_advanced,4
blood-w6-42-522370ef,"長距離戦（2400m以上）の特徴と必要な要素",blood_advanced,5
blood-w6-43-a467c089,"ダート1800m戦の特徴と狙い方",blood_advanced,6
blood-w6-44-51b11594,"障害レースの基礎知識｜初心者でもわかる特殊なレース",blood_advanced,7
blood-w6-45-14926841,"ローカル開催の特徴と穴馬の見つけ方",blood_advanced,8
sy25csrd6,"東京芝2400m完全攻略ガイド｜ダービーはこう狙え",course_tokyo,1
yqnbxr1qd1,"中山芝2500m｜有馬記念のコース傾向と好走条件",course_tokyo,2
fzm9i5ie1v2,"阪神芝1600m外回り｜マイルCSの攻略データ",course_tokyo,3
course-w5-09-1237ef37,"京都競馬場のコース特徴｜名コースの攻略法",course_tokyo,4
course-w5-10-0e0260a6,"中京競馬場のコース特徴と注目ポイント",course_nakayama,1
course-w5-11-b51f485d,"新潟競馬場の特徴｜日本一長い直線を攻略",course_nakayama,2
course-w5-12-b7b3fb42,"重馬場・不良馬場の予想法｜雨の日こそチャンス",course_nakayama,3
course-w5-13-147888c7,"開幕週と最終週で馬場はこう変わる",course_nakayama,4
course-w5-14-0f78f222,"コース替わりで激走する馬の見つけ方",course_kyoto,1
course-w5-15-12c3cc43,"1200m戦の特徴とスプリントの奥深さ",course_kyoto,2
course-w5-16-4034e3c0,"トラックバイアスとは？馬場の偏りを味方にする方法",course_kyoto,3
course-w6-09-7078329c,"小倉競馬場の特徴と夏競馬の傾向",course_kyoto,4
course-w6-10-b6a8632c,"札幌競馬場の洋芝が生む独特の適性",course_hanshin,1
course-w6-11-0a202cd0,"函館競馬場の特徴と開幕週の狙い方",course_hanshin,2
course-w6-12-921e989c,"福島競馬場の特徴｜小回りが生む波乱",course_hanshin,3
course-w6-13-cf9e662a,"マイル（1600m）戦の特徴と攻略のコツ",course_hanshin,4
course-w6-14-85f78764,"2000m戦の特徴｜クラシックディスタンスを知る",course_local,1
course-w6-15-a7aee747,"A/B/Cコースとは？仮柵移動の意味と予想への活かし方",course_local,2
5kbddqy-ta0p,"C.ルメール騎手の買い条件と消し条件をデータで分析",jockey_basics,1
5k_tw5_lib,"川田将雅の騎乗スタイル｜なぜ先行馬で強いのか",jockey_basics,2
39e5khadj,"武豊が光る条件｜ベテランの技が活きるレースパターン",jockey_basics,3
jockey-w5-25-3f75bdea,"戸崎圭太騎手の特徴と狙い条件",jockey_basics,4
jockey-w5-26-d0cbbafd,"M.デムーロ騎手の特徴｜G1ハンターの実力",jockey_data,1
jockey-w5-27-be6f37be,"騎手のコース別得意・不得意を知る",jockey_data,2
jockey-w5-28-b9e5a1c7,"外国人騎手の短期免許と競馬への影響",jockey_data,3
jockey-w5-29-37b1594c,"斤量が競走馬に与える影響はどのくらい？",jockey_data,4
jockey-w5-30-17da0afe,"矢作芳人厩舎の特徴と管理馬の傾向",jockey_strategy,1
jockey-w6-23-bcdc987a,"池添謙一騎手の特徴と穴パターン",jockey_strategy,2
jockey-w6-24-8d754844,"騎手と調教師の相性｜黄金コンビを見つける",jockey_strategy,3
jockey-w6-25-8314af68,"斤量が競走馬に与える影響はどのくらい？",jockey_strategy,4
bnmpa9l5mzs3,"差し馬の見極め方｜展開予想の基本を徹底解説",ticket_basics,1
cewzim_yo,"パドックの見方入門｜初心者が見るべき5つのポイント",ticket_basics,2
